"","State","Population","Murders_and_Nonnegligent_Manslaughter.total_deaths.","Murders.total_deaths.","Gun_Murders.total_deaths.","Gun_Ownership...","Murder_and_Nonnegligent_Manslaughter_Rate.per100.000.","Murder_Rate.per100.000.","Gun_Murder_Rate.per100.000."
"1","Alabama","4,853,875","348","315","236",48.9,7.2,6.49545248559866,4.85761075550805
"2","Alaska","737,709","59","57","39",61.7,8,7.7,5.3
"3","Arizona","6,817,565","306","278","171",32.3,4.5,4.1,2.5
"4","Arkansas","2,977,853","181","164","110",57.9,6.1,5.5,3.7
"5","California","38,993,940","1,861","1,861","1,275",20.1,4.8,4.8,3.3
"6","Colorado","5,448,819","176","176","115",34.3,3.2,3.2,2.1
"7","Connecticut","3,584,730","117","107","73",16.6,3.3,3,2
"8","Delaware","944,076","63","63","52",5.2,6.7,6.7,5.5
"9","Florida","20,244,914","1,041","947","674",32.5,5.1,4.67544622363679,3.33152017952527
"10","Georgia","10,199,398","615","565","464",31.6,6,5.5,4.5
"11","Hawaii","1,425,157","19","19","4",25.8,1.3,1.3,0.3
"12","Idaho","1,652,828","32","30","24",56.9,1.9,1.8,1.5
"13","Illinois","12,859,995","744","497","440",26.2,5.8,3.9,3.4
"14","Indiana","6,612,768","373","272","209",33.8,5.6,4.1,3.2
"15","Iowa","3,121,997","72","72","49",33.8,2.3,2.3,1.6
"16","Kansas","2,906,721","128","125","91",32.2,4.4,4.3,3.1
"17","Kentucky","4,424,611","209","209","141",42.4,4.7,4.7,3.2
"18","Louisiana","4,668,960","481","474","379",44.5,10.3,10.2,8.1
"19","Maine","1,329,453","23","23","16",22.6,1.7,1.7,1.2
"20","Maryland","5,994,983","516","372","279",20.7,8.6,6.2,4.7
"21","Massachusetts","6,784,240","128","126","81",22.6,1.9,1.9,1.2
"22","Michigan","9,917,715","571","571","389",28.8,5.8,5.8,3.9
"23","Minnesota","5,482,435","133","133","79",36.7,2.4,2.4,1.4
"24","Mississippi","2,989,390","259","159","126",42.8,8.7,5.3,4.2
"25","Missouri","6,076,204","502","499","418",27.1,8.3,8.2,6.9
"26","Montana","1,032,073","36","36","18",52.3,3.5,3.5,1.7
"27","Nebraska","1,893,765","62","61","43",19.8,3.3,3.2,2.3
"28","Nevada","2,883,758","178","177","113",37.5,6.2,6.1,3.9
"29","New Hampshire","1,330,111","14","14","8",14.4,1.1,1.1,0.6
"30","New Jersey","8,935,421","363","353","255",11.3,4.1,4,2.9
"31","New Mexico","2,080,328","117","94","56",49.9,5.6,4.5,2.7
"32","New York","19,747,183","609","611","383",10.3,3.1,3.1,1.9
"33","North Carolina","10,035,186","517","506","353",28.7,5.2,5,3.5
"34","North Dakota","756,835","21","17","9",47.9,2.8,2.2,1.2
"35","Ohio","11,605,090","500","480","316",19.6,4.3,4.1,2.7
"36","Oklahoma","3,907,414","234","233","149",31.2,6,6,3.8
"37","Oregon","4,024,634","99","71","34",26.6,2.5,1.8,0.8
"38","Pennsylvania","12,791,904","658","651","497",27.1,5.1,5.1,3.9
"39","Rhode Island","1,055,607","29","27","10",5.8,2.7,2.6,0.9
"40","South Carolina","4,894,834","399","394","312",44.4,8.2,8,6.4
"41","South Dakota","857,919","32","27","12",35,3.7,3.1,1.4
"42","Tennessee","6,595,056","406","402","297",39.4,6.2,6.1,4.5
"43","Texas","27,429,639","1,316","1,276","906",35.7,4.8,4.7,3.3
"44","Utah","2,990,632","54","54","34",31.9,1.8,1.8,1.1
"45","Vermont","626,088","10","10","8",28.8,1.6,1.6,1.3
"46","Virginia","8,367,587","383","383","275",29.3,4.6,4.6,3.3
"47","Washington","7,160,290","211","209","141",27.7,2.9,2.9,2
"48","West Virginia","1,841,053","70","57","30",54.2,3.8,3.1,1.6
"49","Wisconsin","5,767,891","240","238","170",34.7,4.2,4.1,2.9
"50","Wyoming","586,107","16","16","10",53.8,2.56,2.7,1.7
